X,Y,OBJECTID,name_e,nom_f,url_e,url_f,site_num_site,min_scale_echelle,max_scale_echelle,PreserveGlobal
-115.541392781555,51.1883036664185,1259748,Tunnel Mountain Village 2,,,,A025,2000,,
-115.541680511241,51.1882691085112,1259749,Tunnel Mountain Village 2,,,,A023,2000,,
-115.541423962037,51.1881705466444,1259750,Tunnel Mountain Village 2,,,,A024,2000,,
-115.542002551546,51.1882159051947,1259751,Tunnel Mountain Village 2,,,,A021,2000,,
-115.542327959125,51.1881627425612,1259752,Tunnel Mountain Village 2,,,,A019,2000,,
-115.54218251638,51.1880698058486,1259753,Tunnel Mountain Village 2,,,,A020,2000,,
-115.542548707621,51.1880065544842,1259754,Tunnel Mountain Village 2,,,,A018,2000,,
-115.542639684479,51.1881157659209,1259755,Tunnel Mountain Village 2,,,,A017,2000,,
-115.540834672472,51.188464121631,1259756,Tunnel Mountain Village 2,,,,A028,2000,,
-115.540642747689,51.1882413329195,1259757,Tunnel Mountain Village 2,,,,A029,2000,,
-115.540556526931,51.1879817174475,1259758,Tunnel Mountain Village 2,,,,A030,2000,,
-115.542852492668,51.1877835874111,1259759,Tunnel Mountain Village 2,,,,A031,2000,,
-115.542795827629,51.1876557311246,1259760,Tunnel Mountain Village 2,,,,A032,2000,,
-115.541903439869,51.1879370572767,1259761,Tunnel Mountain Village 2,,,,A037,2000,,
-115.54182344856,51.1878004334425,1259762,Tunnel Mountain Village 2,,,,A038,2000,,
-115.540893305427,51.1881024742645,1259763,Tunnel Mountain Village 2,,,,A043,2000,,
-115.540813047271,51.1879743224742,1259764,Tunnel Mountain Village 2,,,,A044,2000,,
-115.541125106459,51.1879167585784,1259765,Tunnel Mountain Village 2,,,,A042,2000,,
-115.5412862665,51.1880459188354,1259766,Tunnel Mountain Village 2,,,,A041,2000,,
-115.54146062653,51.1878637247969,1259767,Tunnel Mountain Village 2,,,,A040,2000,,
-115.541554436562,51.1879899249811,1259768,Tunnel Mountain Village 2,,,,A039,2000,,
-115.542208557414,51.1878857622102,1259769,Tunnel Mountain Village 2,,,,A035,2000,,
-115.542151958326,51.1877557874897,1259770,Tunnel Mountain Village 2,,,,A036,2000,,
-115.542436713733,51.1877084749129,1259771,Tunnel Mountain Village 2,,,,A034,2000,,
-115.542493647253,51.1878278585392,1259772,Tunnel Mountain Village 2,,,,A033,2000,,
-115.542617543372,51.1875348362877,1259773,Tunnel Mountain Village 2,,,,A045,2000,,
-115.542463192191,51.1874036442472,1259774,Tunnel Mountain Village 2,,,,A046,2000,,
-115.542212547488,51.1874386653611,1259775,Tunnel Mountain Village 2,,,,A048,2000,,
-115.542027744649,51.1876313273438,1259776,Tunnel Mountain Village 2,,,,A049,2000,,
-115.540818910958,51.1876819489644,1259777,Tunnel Mountain Village 2,,,,A058,2000,,
-115.541069891441,51.187636338525,1259778,Tunnel Mountain Village 2,,,,A056,2000,,
-115.541371433722,51.1875913581736,1259779,Tunnel Mountain Village 2,,,,A054,2000,,
-115.541676614033,51.1875379446575,1259780,Tunnel Mountain Village 2,,,,A052,2000,,
-115.541937905937,51.1874861036035,1259781,Tunnel Mountain Village 2,,,,A050,2000,,
-115.541055028545,51.1877866145674,1259782,Tunnel Mountain Village 2,,,,A055,2000,,
-115.541360276638,51.1877310844932,1259783,Tunnel Mountain Village 2,,,,A053,2000,,
-115.541709078781,51.1876845729491,1259784,Tunnel Mountain Village 2,,,,A051,2000,,
-115.542292607059,51.1875731719242,1259785,Tunnel Mountain Village 2,,,,A047,2000,,
-115.538845814428,51.1886484878988,1259786,Tunnel Mountain Trailer Court,,,,102,2000,,
-115.538073976492,51.188614731998,1259787,Tunnel Mountain Trailer Court,,,,103,2000,,
-115.538108939954,51.1887890914496,1259788,Tunnel Mountain Trailer Court,,,,104,2000,,
-115.537494308566,51.1887147352049,1259789,Tunnel Mountain Trailer Court,,,,105,2000,,
-115.5359688184,51.1892738456072,1259790,Tunnel Mountain Trailer Court,,,,112,2000,,
-115.536782872641,51.1888998248468,1259791,Tunnel Mountain Trailer Court,,,,107,2000,,
-115.536348068407,51.1889830649167,1259792,Tunnel Mountain Trailer Court,,,,109,2000,,
-115.536535093562,51.1891294244568,1259793,Tunnel Mountain Trailer Court,,,,110,2000,,
-115.535911359202,51.1891326644313,1259794,Tunnel Mountain Trailer Court,,,,111,2000,,
-115.535531279976,51.1892315155357,1259795,Tunnel Mountain Trailer Court,,,,113,2000,,
-115.535601086335,51.1893507659712,1259796,Tunnel Mountain Trailer Court,,,,114,2000,,
-115.535103739185,51.1893054538592,1259797,Tunnel Mountain Trailer Court,,,,115,2000,,
-115.535205142954,51.189445284129,1259798,Tunnel Mountain Trailer Court,,,,116,2000,,
-115.534596509654,51.1894267003815,1259799,Tunnel Mountain Trailer Court,,,,117,2000,,
-115.534650323762,51.1895625415133,1259800,Tunnel Mountain Trailer Court,,,,118,2000,,
-115.534018879142,51.1895635667221,1259801,Tunnel Mountain Trailer Court,,,,119,2000,,
-115.533512302849,51.1896846926094,1259802,Tunnel Mountain Trailer Court,,,,121,2000,,
-115.53309494465,51.1897736819207,1259803,Tunnel Mountain Trailer Court,,,,123,2000,,
-115.533197880519,51.1898856972321,1259804,Tunnel Mountain Trailer Court,,,,124,2000,,
-115.532843951857,51.1899440461489,1259805,Tunnel Mountain Trailer Court,,,,126,2000,,
-115.532583962127,51.1900333101546,1259806,Tunnel Mountain Trailer Court,,,,128,2000,,
-115.532318529921,51.1900760984795,1259807,Tunnel Mountain Trailer Court,,,,130,2000,,
-115.532080449064,51.1901324634906,1259808,Tunnel Mountain Trailer Court,,,,132,2000,,
-115.53165828891,51.1902230012761,1259809,Tunnel Mountain Trailer Court,,,,134,2000,,
-115.531097559009,51.1903474484479,1259810,Tunnel Mountain Trailer Court,,,,136,2000,,
-115.530804977784,51.1904138409712,1259811,Tunnel Mountain Trailer Court,,,,138,2000,,
-115.530448100884,51.19037019069,1259812,Tunnel Mountain Trailer Court,,,,141,2000,,
