X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Descr_e,Descr_f,min_scale_echelle,max_scale_echelle,D_Source,D_Source_Code,url_e,url_f,Principal_type
-73.0134362745543,46.6626650309865,104651,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-73.0143354544821,46.6634546117655,104652,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 58,213)",,,,,,,,,Bridge//Pont
-73.0041978027611,46.6565374523319,104653,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-73.06349474072,46.7374637189989,104654,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 39,967)",,,,,,,,,Bridge//Pont
-73.0043553546096,46.7622578395769,104655,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-73.0194237345625,46.7627536926394,104656,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-73.0257720465432,46.7664272063331,104657,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 29,167)",,,,,,,,,Bridge//Pont
-73.0547469825365,46.7539373355129,104658,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 37,275)",,,,,,,,,Bridge//Pont
-72.9963402740997,46.7643856081166,104659,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9821359901583,46.7610851238501,104660,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9662532806007,46.7571950739784,104661,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9639655178698,46.7609161637558,104662,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9546214554152,46.7669771221745,104663,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9458045350322,46.7735867490671,104664,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 19,896)",,,,,,,,,Bridge//Pont
-72.9382461687511,46.7701659721608,104665,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9284093769894,46.7729040986173,104666,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 18,297)",,,,,,,,,Bridge//Pont
-72.7677798622744,46.7282324553691,104667,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.778757698111,46.7400916341296,104668,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-72.9754189238056,46.6522787967884,104669,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
